2025-08-11 10:45:22 | ERROR    | src.database.connection:create_tables:82 | Failed to create database tables: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 10:45:22 | ERROR    | src.database.connection:init_database:134 | Database initialization failed: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 10:45:22 | ERROR    | __main__:main:26 | Database initialization failed: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 7: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 7: Assignment failed - Assignment failed: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 8: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 8: Assignment failed - Assignment failed: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 9: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 9: Assignment failed - Assignment failed: No available teams found for category: Operations
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 1: 'High' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 1: Assignment failed - Assignment failed: 'High' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 2: 'Medium' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 2: Assignment failed - Assignment failed: 'Medium' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 3: 'High' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 3: Assignment failed - Assignment failed: 'High' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | src.core.assignment:assign_task:128 | Assignment failed for task 4: 'Medium' is not a valid TaskPriority
2025-08-11 11:04:56 | ERROR    | __main__:test_assignment_strategies:160 |   Task 4: Assignment failed - Assignment failed: 'Medium' is not a valid TaskPriority
